,Neighborhood,NeighborhoodLatitude,NeighborhoodLongitude,Venue_Count,Venue,VenueLatitude,VenueLongitude,VenueCategory
585,Sri Saranankara,6.868377766966918,79.8682745700471,4,Golden Palace,6.870536831716671,79.8675301459442,Chinese Restaurant
586,Sri Saranankara,6.868377766966918,79.8682745700471,4,KFC,6.86426495887521,79.87006769474462,Fast Food Restaurant
587,Wewala West,6.800610603999477,79.90919627043236,4,Xian Dumpling,6.797429077415322,79.91028135289952,Dumpling Restaurant
588,Wewala West,6.800610603999477,79.90919627043236,4,Akanitha,6.802896354028309,79.91183922758341,Asian Restaurant
589,Wewala West,6.800610603999477,79.90919627043236,4,Bakers Hut,6.797225058529179,79.91015016218961,Restaurant
590,Wewala West,6.800610603999477,79.90919627043236,4,Perera & Sons Piliyandala,6.798898533294692,79.91268101502236,Bakery
591,Galwala,6.860635906639414,79.87004639134642,7,Burgers Hut,6.859732149953582,79.86737206310426,Burger Joint
592,Galwala,6.860635906639414,79.87004639134642,7,Pilawoos,6.862958198570681,79.8685254862971,Bakery
593,Galwala,6.860635906639414,79.87004639134642,7,Pizza Hut,6.860210743053872,79.86677542983021,Pizza Place
594,Galwala,6.860635906639414,79.87004639134642,7,M.C. Food Centre,6.860792950986496,79.86652283087267,Fast Food Restaurant
595,Galwala,6.860635906639414,79.87004639134642,7,KFC,6.86426495887521,79.87006769474462,Fast Food Restaurant
596,Galwala,6.860635906639414,79.87004639134642,7,Mummys Delight,6.863618200157226,79.86815360220623,Halal Restaurant
597,Galwala,6.860635906639414,79.87004639134642,7,Shahran Banquet Hall,6.863143216329047,79.8674043603741,Restaurant
598,Rukmale East B,6.855293791813695,79.98686154299772,3,Japanese,6.854130744934082,79.98634338378906,Japanese Restaurant
599,Rukmale East B,6.855293791813695,79.98686154299772,3,burger joint,6.854130744934082,79.98634338378906,Burger Joint
600,Rukmale East B,6.855293791813695,79.98686154299772,3,Richmin Bakery & Hotel,6.856977,79.984034,Sri Lankan Restaurant
601,Moratuwella North,6.776500737104256,79.88244604022802,3,Steam Boat,6.778773112701921,79.88227260951611,Chinese Restaurant
602,Moratuwella North,6.776500737104256,79.88244604022802,3,steamboat moratuwa,6.7785818683350225,79.88225675371048,Asian Restaurant
603,Moratuwella North,6.776500737104256,79.88244604022802,3,Hotel De Pilawoos,6.774875640869141,79.88414001464844,Asian Restaurant
604,Kuduwamulla,6.793959199014787,79.89321779168648,2,Kamra Food Cabin,6.796868801116943,79.89398956298828,Diner
605,Kuduwamulla,6.793959199014787,79.89321779168648,2,Visakha Hotel,6.797779,79.891588,Food Court
